rev_id,rev_user_text,rev_deleted,rev_page
2134,OprgaG,0,37065
2136,Mav,0,36923
2142,Clasqm,0,36971
2143,Magnus Manske,0,21294842
2145,WojPob,0,37071
2147,Damian Yerrick,0,37072
2156,Carey Evans,0,18825270
2157,Taw,0,10313
2161,Trelvis,0,22054
2162,Trelvis,0,37067
2163,OprgaG,0,37065
2165,Wesley,0,18825270
2168,MichaelTinkler,0,36768
2169,JHK,0,36895
2170,Vicki Rosenzweig,0,36895
2171,Vicki Rosenzweig,0,36895
2172,Magnus Manske,0,21294842
2174,Lee Daniel Crocker,0,36895
2175,DanKeshet,0,36890
2181,BF,0,6658
2182,GayCommunist,0,18618607
2183,AxelBoldt,0,18932421
2186,Amillar,0,20421
2188,Taw,0,21676
2189,Taw,0,21676
2190,MichaelTinkler,0,20804
2195,MichaelTinkler,0,36768
2197,Gareth Owen,0,36525
2198,Unknown,0,37087
2205,MichaelTinkler,0,25595604
2207,Alexdb,0,32740
2208,JHK,0,37086
2210,Ed Poor,0,15030
2211,Ed Poor,0,15030
2214,Ed Poor,0,31898
2218,Slrubenstein,0,37093
2219,Ed Poor,0,13109
2220,WojPob,0,37073
2222,David Parker,0,16305
2223,-- April,0,36884
2225,David Parker,0,13849
2231,OprgaG,0,37096
2232,Slrubenstein,0,20757740
2233,-- April,0,20757740
2234,AxelBoldt,0,3090
2236,AxelBoldt,0,37078
2237,Damian Yerrick,0,36467
2238,Larry Sanger,0,37097
2239,MichaelTinkler,0,36923
2242,Larry Sanger,0,27084080
2244,Dreamyshade,0,5042951
2250,Szopen,0,37076
2252,WojPob,0,8488
2253,Vicki Rosenzweig,0,37069
2254,-- April,0,36884
2255,Uriyan,0,7960202
2256,Larry Sanger,0,37097
2259,Vicki Rosenzweig,0,21294842
2263,Wesley,0,21785
2265,Ed Poor,0,37038
2267,Zundark,0,14789
2268,RobLa,0,36938
2269,Ed Poor,0,37038
2270,-- April,0,23443846
2271,-- April,0,23443846
2273,-- April,0,23443846
2275,Ed Poor,0,5042951
2277,Joao,0,37103
2278,Ed Poor,0,37038
2280,Ed Poor,0,16775
2282,Ed Poor,0,11185
2283,Manning Bartlett,0,25169208
2285,Ed Poor,0,37038
2286,Ed Poor,0,11185
2292,Ed Poor,0,37106
2293,SteveSmith,0,37106
2294,SteveSmith,0,37106
2295,Uriyan,0,7960202
2297,MichaelTinkler,0,37108
2301,MichaelTinkler,0,24298
2302,MichaelTinkler,0,37108
2303,Ed Poor,0,37038
2304,Ed Poor,0,30475
2305,Ed Poor,0,15030
2306,Ed Poor,0,15030
2308,-- April,0,36891
2311,Magnus Manske,0,8131
2312,JHK,0,20804
2316,-- April,0,20757816
2317,Verloren,0,26954
2319,Mav,0,36915
2321,Mav,0,36915
2332,Mav,0,37118
2333,BF,0,37101
2334,Mav,0,37118
2335,MichaelTinkler,0,24298
2338,-- April,0,23443846
2342,RobLa,0,38211935
2346,Ffaker,0,39762422
2347,Mav,0,37118
2348,Ed Poor,0,37085
2349,Mav,0,37118
2350,Ffaker,0,39762422
2356,Mav,0,37058
2357,Ffaker,0,39762422
2371,Calypso,0,5069516
2372,Trelvis,0,36880
2374,ClaudeMuncey,0,28134
2375,ClaudeMuncey,0,28134
2379,Trelvis,0,36938
2380,Mav,0,37118
2381,Mav,0,37118
2388,Grouse,0,37130
2389,Grouse,0,37130
2390,Grouse,0,37130
2391,Grouse,0,37130
2392,EdwardOConnor,0,26296173
2394,Grouse,0,4580
2398,Trimalchio,0,37112
2399,Trimalchio,0,30604
2400,Trimalchio,0,30604
2402,Grouse,0,37138
2405,Grouse,0,2244
2410,RobLa,0,38211935
2414,BF,0,37081
2415,Clasqm,0,36969
2416,Zundark,0,23943
2428,Alex.tan,0,9312
2429,Alex.tan,0,9312
2430,Alex.tan,0,9312
2434,Robert Merkel,0,18463
2435,Mav,0,28334
2439,Bryan Derksen,0,22555
2440,Bryan Derksen,0,22555
2443,Wesley,0,25414
2444,Dreamyshade,0,27931
2446,Robert Merkel,0,37125
2449,Alex.tan,0,21294842
2455,Robert Merkel,0,37152
